title,uri,length,note
"淺談 Microkernel 設計和真實世界中的應用 (0512)","https://www.youtube.com/watch?v=WoDHMAxEDac","0","https://hackmd.io/s/SJ55y7fR"
"Linux 在工業控制的應用：淺談即時系統設計與實做","https://www.youtube.com/watch?v=3XvnrHKTGgk","0","https://paper.dropbox.com/doc/xp7KHG0qngbuoH9eoj8AZ"
"PREEMPT_RT - 朝向硬即時的 Linux 核心機制 (0524)","https://www.youtube.com/watch?v=C81FLHOjYb0","0","https://paper.dropbox.com/doc/PREEMPT_RT-Linux-wsv6BaTBBXRsV1i9UGJ0t"
"從無到有打造 IoT 作業系統核心 (2016-06-27)","https://www.youtube.com/watch?v=CSKLsCa1gAU","0","https://paper.dropbox.com/doc/IoT--AgaNeX0SsoPYGDTa0H4VV"
"「作業系統概念」：Concurrency (並行) 程式設計篇","https://www.youtube.com/watch?v=3mkug2ygdIs","0","https://hackmd.io/s/Skh_AaVix"
"從無到有開發 IoT 作業系統核心：以 Piko/RT 為例 ","https://www.youtube.com/watch?v=6GSPiLPfVWY","0","http://hackfoldr.org/arm/"
