title,uri,length,note
"「手機裡的 ARM 處理器」：系列講座導論","https://www.youtube.com/watch?v=nvX5AF6pOzw","0","https://hackmd.io/s/B1nI1xXie"
"「手機裡的 ARM 處理器」：架構和指令","https://www.youtube.com/watch?v=SwqKJVhWZmA","0","https://hackmd.io/s/B1nI1xXie"
"「手機裡的 ARM 處理器」：基礎指令和開發環境","https://www.youtube.com/watch?v=yHAdlr4pF30","0","https://hackmd.io/s/B1nI1xXie"
"「手機裡的 ARM 處理器」：虛擬化技術和應用","https://www.youtube.com/watch?v=UG_lvnlW-4A","0","https://hackmd.io/s/B1nI1xXie"
"「手機裡的 ARM 處理器」：隱藏的精靈 Cortex-M","https://www.youtube.com/watch?v=TxjyMFK6Mr0","0","https://hackmd.io/s/H1BlXDddZ"
